[21:34:46] [Info] こんにちは！ Booting Zettlr at Sat Jul 17 2021 21:34:44 GMT+0530 (India Standard Time).
[21:34:46] [Info] Performing environment check ...
[21:34:46] [Info] [Application] Pandoc has been bundled with this release. Path: /tmp/.mount_Z.AppInqAAK9/resources/pandoc
[21:34:46] [Info] Environment check complete.
[21:34:46] [Info] Registering custom protocol safe-file
[21:34:47] [Info] [Citeproc Provider] There is no CSL library selected in the preferences. Nothing to do.
[21:34:48] [Info] [Application] The bundled pandoc executable is now in PATH. If you do not want to use the bundled pandoc, uncheck the corresponding setting and reboot the app.
[21:34:49] [Info] Added DevTools extension:  Vue.js devtools
[21:34:51] [Warning] [FSAL Directory] Path /home/rahu/Documents/Zettlr Tutorial/Pandoc and LaTeX Guide.md took 145ms to load.
[21:34:52] [Warning] [FSAL] Path /home/rahu/Documents/Zettlr Tutorial took 3300ms to load.
[21:34:53] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/0Core/_Certificates took 368ms to load.
[21:34:53] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/0Core took 901ms to load.
[21:34:53] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/0del/2Print/Assignment Guidelines for Lawsikho Courses for assignment portal.txt took 212ms to load.
[21:34:53] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/0del/2Print took 254ms to load.
[21:34:53] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/0del took 644ms to load.
[21:34:54] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/50kCourse took 261ms to load.
[21:34:54] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/HamExam/HamRadioExam/701HamRadioExam took 268ms to load.
[21:34:54] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/HamExam/HamRadioExam took 384ms to load.
[21:34:55] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/HamExam/readmeHAM.md took 192ms to load.
[21:34:55] [Warning] [FSAL Directory] Path /home/rahu/Dropbox/myCloud/1000DailyDo/C_this.Week/this.Day/HamExam took 835ms to load.
